Eenheid;sub;naam
Eenheid;Eenheid;Tekst
63070166;63070166;Nederlandse Voedsel en Waren Autoriteit
63070168;63070168;NVWA IG en Plv IG
63297939;63070166;Nederlandse Voedsel en Waren Autoriteit
63287511;63287511;BV Directie Bedrijfsvoering
63287514;63287511;BV Directie Bedrijfsvoering
63287515;63287511;BV Directie Bedrijfsvoering
63287518;63287511;BV Directie Bedrijfsvoering
63287519;63287511;BV Directie Bedrijfsvoering
63287520;63287511;BV Directie Bedrijfsvoering
63287521;63287511;BV Directie Bedrijfsvoering
63287516;63287511;BV Directie Bedrijfsvoering
63287522;63287511;BV Directie Bedrijfsvoering
63287523;63287511;BV Directie Bedrijfsvoering
63287524;63287511;BV Directie Bedrijfsvoering
63287517;63287511;BV Directie Bedrijfsvoering
63287525;63287511;BV Directie Bedrijfsvoering
63287551;63287511;BV Directie Bedrijfsvoering
63287552;63287511;BV Directie Bedrijfsvoering
63070174;63070174;CV Divisie Consument en Veiligheid
63070283;63070174;CV Divisie Consument en Veiligheid
63070284;63070174;CV Divisie Consument en Veiligheid
63070290;63070174;CV Divisie Consument en Veiligheid
63070291;63070174;CV Divisie Consument en Veiligheid
63070292;63070174;CV Divisie Consument en Veiligheid
63070293;63070174;CV Divisie Consument en Veiligheid
63070285;63070174;CV Divisie Consument en Veiligheid
63070294;63070174;CV Divisie Consument en Veiligheid
63070295;63070174;CV Divisie Consument en Veiligheid
63070296;63070174;CV Divisie Consument en Veiligheid
63070297;63070174;CV Divisie Consument en Veiligheid
63070298;63070174;CV Divisie Consument en Veiligheid
63070299;63070174;CV Divisie Consument en Veiligheid
63070300;63070174;CV Divisie Consument en Veiligheid
63082452;63070174;CV Divisie Consument en Veiligheid
63070286;63070174;CV Divisie Consument en Veiligheid
63070301;63070174;CV Divisie Consument en Veiligheid
63070302;63070174;CV Divisie Consument en Veiligheid
63070303;63070174;CV Divisie Consument en Veiligheid
63070304;63070174;CV Divisie Consument en Veiligheid
63070305;63070174;CV Divisie Consument en Veiligheid
63070287;63070174;CV Divisie Consument en Veiligheid
63070306;63070174;CV Divisie Consument en Veiligheid
63070307;63070174;CV Divisie Consument en Veiligheid
63070308;63070174;CV Divisie Consument en Veiligheid
63070309;63070174;CV Divisie Consument en Veiligheid
63070310;63070174;CV Divisie Consument en Veiligheid
63070311;63070174;CV Divisie Consument en Veiligheid
63070288;63070174;CV Divisie Consument en Veiligheid
63070312;63070174;CV Divisie Consument en Veiligheid
63070313;63070174;CV Divisie Consument en Veiligheid
63070314;63070174;CV Divisie Consument en Veiligheid
63070315;63070174;CV Divisie Consument en Veiligheid
63070316;63070174;CV Divisie Consument en Veiligheid
63070317;63070174;CV Divisie Consument en Veiligheid
63070318;63070174;CV Divisie Consument en Veiligheid
63070289;63070174;CV Divisie Consument en Veiligheid
63070319;63070174;CV Divisie Consument en Veiligheid
63070320;63070174;CV Divisie Consument en Veiligheid
63070321;63070174;CV Divisie Consument en Veiligheid
63070322;63070174;CV Divisie Consument en Veiligheid
63070175;63070175;IO Divisie Inlichtingen en Opsporingsd
63070323;63070175;IO Divisie Inlichtingen en Opsporingsd
63070324;63070175;IO Divisie Inlichtingen en Opsporingsd
63224064;63070175;IO Divisie Inlichtingen en Opsporingsd
63070327;63070175;IO Divisie Inlichtingen en Opsporingsd
63070328;63070175;IO Divisie Inlichtingen en Opsporingsd
63070325;63070175;IO Divisie Inlichtingen en Opsporingsd
63070329;63070175;IO Divisie Inlichtingen en Opsporingsd
63070330;63070175;IO Divisie Inlichtingen en Opsporingsd
63070331;63070175;IO Divisie Inlichtingen en Opsporingsd
63070171;63070171;KD Divisie Klantcontact en Dienstverl
63070204;63070171;KD Divisie Klantcontact en Dienstverl
63070205;63070171;KD Divisie Klantcontact en Dienstverl
63070208;63070171;KD Divisie Klantcontact en Dienstverl
63070209;63070171;KD Divisie Klantcontact en Dienstverl
63070206;63070171;KD Divisie Klantcontact en Dienstverl
63070210;63070171;KD Divisie Klantcontact en Dienstverl
63070211;63070171;KD Divisie Klantcontact en Dienstverl
63070212;63070171;KD Divisie Klantcontact en Dienstverl
63070213;63070171;KD Divisie Klantcontact en Dienstverl
63070214;63070171;KD Divisie Klantcontact en Dienstverl
63070215;63070171;KD Divisie Klantcontact en Dienstverl
63070216;63070171;KD Divisie Klantcontact en Dienstverl
63070249;63070171;KD Divisie Klantcontact en Dienstverl
63070207;63070171;KD Divisie Klantcontact en Dienstverl
63070173;63070173;LN Divisie Landbouw en Natuur
63070250;63070173;LN Divisie Landbouw en Natuur
63070251;63070173;LN Divisie Landbouw en Natuur
63070252;63070173;LN Divisie Landbouw en Natuur
63070257;63070173;LN Divisie Landbouw en Natuur
63070258;63070173;LN Divisie Landbouw en Natuur
63070253;63070173;LN Divisie Landbouw en Natuur
63070259;63070173;LN Divisie Landbouw en Natuur
63070260;63070173;LN Divisie Landbouw en Natuur
63070261;63070173;LN Divisie Landbouw en Natuur
63070262;63070173;LN Divisie Landbouw en Natuur
63070254;63070173;LN Divisie Landbouw en Natuur
63070263;63070173;LN Divisie Landbouw en Natuur
63070264;63070173;LN Divisie Landbouw en Natuur
63070265;63070173;LN Divisie Landbouw en Natuur
63070255;63070173;LN Divisie Landbouw en Natuur
63070266;63070173;LN Divisie Landbouw en Natuur
63070267;63070173;LN Divisie Landbouw en Natuur
63070268;63070173;LN Divisie Landbouw en Natuur
63070269;63070173;LN Divisie Landbouw en Natuur
63070270;63070173;LN Divisie Landbouw en Natuur
63070271;63070173;LN Divisie Landbouw en Natuur
63070272;63070173;LN Divisie Landbouw en Natuur
63070256;63070173;LN Divisie Landbouw en Natuur
63070273;63070173;LN Divisie Landbouw en Natuur
63070274;63070173;LN Divisie Landbouw en Natuur
63070275;63070173;LN Divisie Landbouw en Natuur
63070276;63070173;LN Divisie Landbouw en Natuur
63070277;63070173;LN Divisie Landbouw en Natuur
63070278;63070173;LN Divisie Landbouw en Natuur
63070279;63070173;LN Divisie Landbouw en Natuur
63070280;63070173;LN Divisie Landbouw en Natuur
63070281;63070173;LN Divisie Landbouw en Natuur
63070282;63070173;LN Divisie Landbouw en Natuur
63287555;63287555;NVWA 05 VWNW kandidaten
63070176;#N/B;NVWA Herplaatsingskandidaten
63070177;#N/B;NVWA Herplaatsingskandidaten
63070178;#N/B;NVWA Herplaatsingskandidaten
63070179;#N/B;NVWA Herplaatsingskandidaten
63070170;63070170;RO Bureau Risicobeoord en Onderzoeksprog
63070201;63070170;RO Bureau Risicobeoord en Onderzoeksprog
63070202;63070170;RO Bureau Risicobeoord en Onderzoeksprog
63070203;63070170;RO Bureau Risicobeoord en Onderzoeksprog
63070169;63070169;ST Directie Staf
63287554;63070169;ST Directie Staf
63070180;63070169;ST Directie Staf
63070181;63070169;ST Directie Staf
63070196;63070169;ST Directie Staf
63070197;63070169;ST Directie Staf
63287553;63070169;ST Directie Staf
63070190;63070169;ST Directie Staf
63070172;63070172;VI Divisie Veterinair en Import
63070217;63070172;VI Divisie Veterinair en Import
63070218;63070172;VI Divisie Veterinair en Import
63070223;63070172;VI Divisie Veterinair en Import
63258226;63070172;VI Divisie Veterinair en Import
63070219;63070172;VI Divisie Veterinair en Import
63070224;63070172;VI Divisie Veterinair en Import
63070225;63070172;VI Divisie Veterinair en Import
63070226;63070172;VI Divisie Veterinair en Import
63070220;63070172;VI Divisie Veterinair en Import
63070227;63070172;VI Divisie Veterinair en Import
63070228;63070172;VI Divisie Veterinair en Import
63070229;63070172;VI Divisie Veterinair en Import
63070230;63070172;VI Divisie Veterinair en Import
63070231;63070172;VI Divisie Veterinair en Import
63070221;63070172;VI Divisie Veterinair en Import
63070232;63070172;VI Divisie Veterinair en Import
63070233;63070172;VI Divisie Veterinair en Import
63070234;63070172;VI Divisie Veterinair en Import
63070235;63070172;VI Divisie Veterinair en Import
63070236;63070172;VI Divisie Veterinair en Import
63070237;63070172;VI Divisie Veterinair en Import
63070222;63070172;VI Divisie Veterinair en Import
63070238;63070172;VI Divisie Veterinair en Import
63070239;63070172;VI Divisie Veterinair en Import
63070240;63070172;VI Divisie Veterinair en Import
63070241;63070172;VI Divisie Veterinair en Import
63070242;63070172;VI Divisie Veterinair en Import
63070243;63070172;VI Divisie Veterinair en Import
63070244;63070172;VI Divisie Veterinair en Import
63070245;63070172;VI Divisie Veterinair en Import
63070246;63070172;VI Divisie Veterinair en Import
63070247;63070172;VI Divisie Veterinair en Import
63070248;63070172;VI Divisie Veterinair en Import
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
